549,5905,2252,1749,504,5654
552,5518,4295,2143,1065,6783
557,1078,3558,2217,8908,5144
567,3635,3721,1117,2992,5884
573,590,4253,1298,2427,5211
575,2560,680,2328,250,7589
577,4115,3179,1126,2330,5801
591,5165,1248,1957,4005,6657
597,5289,3619,1421,3544,11204
599,1266,4368,1467,1108,7333
613,5164,3675,1193,4964,7820
614,824,4199,1378,3946,5465
617,4243,1150,1958,403,5589
622,5485,1361,1858,1069,5372
629,5916,488,2467,3279,5950
640,760,1196,1321,1470,5506
642,3707,1856,1838,54,5810
648,4003,2207,2306,448,8484
653,2732,3895,1185,3822,6623
653,2383,3814,1670,1065,6778
654,5633,3724,1616,6138,6983
654,4182,4081,2286,741,10313
667,3897,3728,2169,377,8477
668,3633,3717,2024,1976,6355
681,3146,4079,2046,514,9141
684,2924,3538,1121,441,4948
699,1899,3592,1992,4893,5228
701,4610,1172,2298,1241,6659
712,4469,2111,1430,4354,6113
714,2074,3175,2164,5407,6128
718,2555,3419,1290,3639,5218
719,1531,172,1878,4713,6498
721,5140,1285,2252,814,6061
757,216,4322,1360,3032,4956
757,272,1544,1691,106,6543
758,3178,1410,2305,1725,5593
767,3256,3275,1655,318,6388
770,4580,4005,1519,3822,6623
793,5391,3846,2709,1442,5878
797,562,3623,2296,3239,6324
802,1507,4416,1475,1351,5466
812,3891,3993,1564,3184,7911
817,2139,4191,2518,3279,5950
818,4175,3125,2150,6063,7999
822,130,2619,2017,1729,5891
842,4687,863,2893,634,9551
843,899,4112,2925,8454,13144
845,3812,1024,1919,4594,8455
846,3703,3431,1435,4193,5728
851,2040,4189,1501,2035,6338
858,3533,4366,1509,1282,5582
862,2548,3430,1452,2621,5465
863,1926,4284,2062,2970,11008
868,3616,1181,2555,1407,6891
871,1450,2971,1825,3757,10594
873,10,3628,1880,709,6933
876,1738,4052,3349,1694,3342
877,3309,2992,1783,124,5532
882,3694,3230,3053,7904,7155
883,620,2189,2893,385,8709
888,3595,1660,2007,1027,5735
892,3159,1380,2554,985,6983
897,3822,4003,1450,1072,5390
902,3398,4229,1917,799,8802
906,881,3703,2542,3793,11330
911,1026,3976,1694,3711,6637
914,1035,4390,1881,2065,9148
919,3129,1337,1923,4421,6811
919,1747,3135,1809,4143,6354
923,1412,4039,2003,4837,5501
933,5095,932,2473,1599,8047
934,1121,1237,1900,1942,6269
934,5747,4243,2333,1105,7112
946,2329,1636,1893,5787,6661
